Pod_Name,GPUMemAve,GPUMemMax,GPUUtilAve,GPUPowerAve
d86a9a6002353011ec08b01045e6de32e845-c07-0,0,0,0.010,42.250
e50f6cf002349011ec095370e5a7ed273c06-c016-0,0,0,0.000,43.170
b987bd4002393011ec08b01045e6de32e845-g022-0,11111,12558,76.710,105.770
df0b74d00238e011ec08b01045e6de32e845-weidq970-0,416,418,62.780,200.050
c3c5cf4002393011ec08bb20f3128d160513-weidq970-0,413,418,73.380,247.760
bafda2d002390011ec08b01045e6de32e845-c07-0,17649,20074,70.410,194.060
ef0171100238c011ec08bb20f3128d160513-g014-0,2907,32444,3.940,66.820
b987bd4002393011ec08b01045e6de32e845-g021-0,11136,12498,78.970,94.420
e717e7700236d011ec095370e5a7ed273c06-g018-0,0,13,0.030,50.370
c3c728a002389011ec08b01045e6de32e845-g09-0,1232,1390,0.000,66.680
b2f3598002392011ec08b01045e6de32e845-g07-0,438,1666,24.140,48.980
b09d936002376011ec08b01045e6de32e845-g011-0,11996,26830,43.990,78.020
b987bd4002393011ec08b01045e6de32e845-g07-0,11115,12498,79.120,96.920
cda22ac002396011ec08bb20f3128d160513-g00-0,1280,1370,0.020,66.800
f99c9ab00238d011ec08bb20f3128d160513-g01-0,1,25,0.020,43.760
e717e7700236d011ec095370e5a7ed273c06-g08-0,1,13,0.020,50.670
fec359100234a011ec095370e5a7ed273c06-c03-0,0,0,0.030,50.370
d6c7f2b002394011ec095370e5a7ed273c06-g01-0,794,1242,0.000,47.040
d6c7f2b002394011ec095370e5a7ed273c06-g06-0,813,1242,0.170,45.450
b2b0080002390011ec08b01045e6de32e845-c022-0,14816,20012,68.360,111.780
c1524b000237c011ec08b01045e6de32e845-g017-0,8870,26444,33.850,74.150
b2b0080002390011ec08b01045e6de32e845-c018-0,15717,20168,71.430,122.910
b2b0080002390011ec08b01045e6de32e845-c03-0,15752,21950,68.810,118.980
b2f3598002392011ec08b01045e6de32e845-g08-0,606,1976,20.690,49.490
e717e7700236d011ec095370e5a7ed273c06-g05-0,0,5,0.000,49.340
e4de720002396011ec08b01045e6de32e845-g011-0,317,1242,0.300,43.890
c3c728a002389011ec08b01045e6de32e845-g012-0,1223,1390,0.000,67.680
c3c728a002389011ec08b01045e6de32e845-g04-0,1233,1390,0.000,67.900
b74c66a002381011ec08bb20f3128d160513-g018-0,12512,23100,50.880,78.230
b987bd4002393011ec08b01045e6de32e845-g08-0,11112,12578,77.790,103.100
ec6874e00fc1b011eb0b78b029bb3a17e6fc-yuzhfpry490-0,27427,28070,0.000,47.610
c1524b000237c011ec08b01045e6de32e845-g013-0,8790,26444,28.660,77.710
b91859100234b011ec095370e5a7ed273c06-c012-0,0,0,0.000,50.520
d86a9a6002353011ec08b01045e6de32e845-c09-0,0,0,0.000,42.340
bb6ccdc00238f011ec08bb20f3128d160513-c02-0,17737,20186,78.400,194.660
b2f3598002392011ec08b01045e6de32e845-g016-0,606,1976,20.690,51.020
b987bd4002393011ec08b01045e6de32e845-g014-0,11148,12558,78.720,100.430
e4de720002396011ec08b01045e6de32e845-g015-0,331,1242,0.280,44.560
b74c66a002381011ec08bb20f3128d160513-g010-0,12573,23110,53.630,83.130
e1c6b16002374011ec08b01045e6de32e845-xuf1384-0,3211,24950,4.960,63.320
e69ab68002393011ec095370e5a7ed273c06-weidq970-0,413,418,71.040,242.620
fec359100234a011ec095370e5a7ed273c06-c013-0,25,307,0.190,50.250
b2b0080002390011ec08b01045e6de32e845-c023-0,15755,20168,66.960,119.150
ef0171100238c011ec08bb20f3128d160513-g017-0,2534,32444,6.250,69.160
e717e7700236d011ec095370e5a7ed273c06-g013-0,6,320,0.030,50.520
c1813cb00234e011ec095370e5a7ed273c06-zhangch2308-0,0,0,0.000,10.390
d86a9a6002353011ec08b01045e6de32e845-c016-0,0,0,0.000,42.530
c171c9a002392011ec08b01045e6de32e845-weidq970-0,415,418,70.040,216.690
c1524b000237c011ec08b01045e6de32e845-g03-0,8924,26830,29.270,77.730
b09d936002376011ec08b01045e6de32e845-g015-0,11916,26434,40.960,80.110
e4de720002396011ec08b01045e6de32e845-g023-0,347,1242,0.000,44.060
fec359100234a011ec095370e5a7ed273c06-c07-0,0,0,0.000,50.120
e717e7700236d011ec095370e5a7ed273c06-g03-0,0,0,0.000,49.710
b2f3598002392011ec08b01045e6de32e845-g024-0,385,1706,20.810,47.310
b4be25c00ca60011eb0b78b029bb3a17e6fc-client-0,13382,13382,0.000,62.380
bafda2d002390011ec08b01045e6de32e845-c020-0,17487,20074,72.200,181.960
b1821d8002390011ec08bb20f3128d160513-weidq970-0,389,418,60.790,212.200
fec359100234a011ec095370e5a7ed273c06-c04-0,0,0,0.000,48.900
bb6ccdc00238f011ec08bb20f3128d160513-c04-0,17729,20016,80.310,212.960
c3c728a002389011ec08b01045e6de32e845-g013-0,1232,1390,0.210,67.720
c1524b000237c011ec08b01045e6de32e845-g012-0,8881,26810,26.430,80.000
b2b0080002390011ec08b01045e6de32e845-c013-0,15027,21950,67.180,117.960
c3c728a002389011ec08b01045e6de32e845-g017-0,1228,1390,0.060,66.110
ef0171100238c011ec08bb20f3128d160513-g03-0,2766,32476,4.440,65.460
e0ff9d9002384011ec08b01045e6de32e845-weidq196-0,0,0,0.000,13.520
e4de720002396011ec08b01045e6de32e845-g02-0,348,1242,0.010,44.670
d86a9a6002353011ec08b01045e6de32e845-caoshm90-0,0,0,0.000,41.060
b09d936002376011ec08b01045e6de32e845-g00-0,12198,26820,43.660,84.420
c4da1e7002392011ec095370e5a7ed273c06-weidq970-0,363,414,65.600,192.160
b2b0080002390011ec08b01045e6de32e845-c06-0,14960,20012,68.590,116.720
bb6ccdc00238f011ec08bb20f3128d160513-c012-0,17162,20012,77.900,208.570
f850756002397011ec095370e5a7ed273c06-g06-0,916,1242,0.100,46.320
b987bd4002393011ec08b01045e6de32e845-g019-0,11114,12498,76.380,111.370
e50f6cf002349011ec095370e5a7ed273c06-c08-0,0,0,0.000,42.990
f850756002397011ec095370e5a7ed273c06-g017-0,902,1242,0.000,45.720
cda22ac002396011ec08bb20f3128d160513-g016-0,1225,1390,0.050,65.330
ef0171100238c011ec08bb20f3128d160513-g019-0,2162,32476,6.600,67.550
d86a9a6002353011ec08b01045e6de32e845-c013-0,0,0,0.000,42.530
b91859100234b011ec095370e5a7ed273c06-c09-0,0,322,0.000,49.090
f850756002397011ec095370e5a7ed273c06-g01-0,902,1242,0.000,46.180
b09d936002376011ec08b01045e6de32e845-g01-0,11730,26820,41.380,82.010
d86a9a6002353011ec08b01045e6de32e845-c023-0,0,0,0.000,42.390
b987bd4002393011ec08b01045e6de32e845-g03-0,11098,12498,75.090,110.260
e717e7700236d011ec095370e5a7ed273c06-g04-0,0,13,0.010,49.640
cd0181f00236a011ec095370e5a7ed273c06-gushzh729-0,0,0,0.000,22.400
c3c728a002389011ec08b01045e6de32e845-g010-0,1232,1380,0.000,65.740
dcd0ddb00fa9b011eb09ab60a9de5c5cd03e-g03-0,18808,18850,100.000,84.140
d6c7f2b002394011ec095370e5a7ed273c06-g012-0,855,1242,0.000,46.210
b2f3598002392011ec08b01045e6de32e845-g03-0,625,1896,21.430,50.330
bb6ccdc00238f011ec08bb20f3128d160513-c018-0,17824,20012,79.240,205.870
b2b0080002390011ec08b01045e6de32e845-c016-0,15686,20170,71.190,116.090
e717e7700236d011ec095370e5a7ed273c06-g011-0,1,13,0.000,50.670
b0f8b7200ce48011eb0921c0639a8c710148-server-0,13382,13382,0.000,58.910
e717e7700236d011ec095370e5a7ed273c06-g019-0,0,0,0.000,49.900
c6b08fc002391011ec095370e5a7ed273c06-weidq970-0,408,414,65.530,253.800
cda22ac002396011ec08bb20f3128d160513-g015-0,1221,1380,0.020,66.920
b91859100234b011ec095370e5a7ed273c06-c05-0,0,307,0.000,48.920
c1524b000237c011ec08b01045e6de32e845-g08-0,9082,26840,32.900,79.540
bb6ccdc00238f011ec08bb20f3128d160513-c010-0,17819,20012,77.010,209.080
e50f6cf002349011ec095370e5a7ed273c06-c015-0,0,0,0.000,43.130
c3c728a002389011ec08b01045e6de32e845-g06-0,1199,1380,0.890,67.950
cda22ac002396011ec08bb20f3128d160513-g011-0,1230,1380,0.000,66.190
b74c66a002381011ec08bb20f3128d160513-g03-0,12828,23212,53.970,80.440
c81e9dd002373011ec095370e5a7ed273c06-xuf1384-0,0,0,0.000,51.550
b9664b8002392011ec095370e5a7ed273c06-weidq970-0,411,418,65.270,229.160
fec359100234a011ec095370e5a7ed273c06-c019-0,0,0,0.060,50.020
f850756002397011ec095370e5a7ed273c06-g012-0,899,1242,0.000,47.510
d86a9a6002353011ec08b01045e6de32e845-c022-0,0,0,0.000,41.360
d86a9a6002353011ec08b01045e6de32e845-c018-0,0,0,0.000,41.390
b2f3598002392011ec08b01045e6de32e845-g018-0,444,1726,24.140,49.650
d74e73500238b011ec08bb20f3128d160513-weidq970-0,416,436,62.580,227.470
b09d936002376011ec08b01045e6de32e845-g05-0,12022,26842,45.610,75.750
c1524b000237c011ec08b01045e6de32e845-g07-0,9062,26832,32.260,80.800
c1524b000237c011ec08b01045e6de32e845-g010-0,9049,26832,32.820,80.220
b646bc1002392011ec08bb20f3128d160513-weidq970-0,412,418,65.270,210.460
e50f6cf002349011ec095370e5a7ed273c06-c018-0,0,0,0.000,42.460
c4c9f2c002360011ec08b01045e6de32e845-xiel841-0,0,0,0.000,22.080
cda22ac002396011ec08bb20f3128d160513-g04-0,1231,1390,0.000,64.750
d86a9a6002353011ec08b01045e6de32e845-c014-0,0,0,0.000,42.090
b74c66a002381011ec08bb20f3128d160513-g013-0,12634,23348,54.550,79.120
e717e7700236d011ec095370e5a7ed273c06-g00-0,605,1248,0.320,60.650
e50f6cf002349011ec095370e5a7ed273c06-c021-0,0,0,0.000,43.960
b2b0080002390011ec08b01045e6de32e845-c01-0,15008,20012,69.610,116.480
ca4efa7002390011ec08b01045e6de32e845-g01-0,4,11,0.340,44.270
e50f6cf002349011ec095370e5a7ed273c06-c06-0,0,0,0.000,44.130
d6c7f2b002394011ec095370e5a7ed273c06-g017-0,793,1242,0.070,46.160
f850756002397011ec095370e5a7ed273c06-g03-0,902,1242,0.120,46.690
cda22ac002396011ec08bb20f3128d160513-g07-0,1230,1380,0.000,67.570
e50f6cf002349011ec095370e5a7ed273c06-c011-0,0,0,0.000,43.720
b2b0080002390011ec08b01045e6de32e845-c015-0,15760,21944,63.720,112.560
c1524b000237c011ec08b01045e6de32e845-g016-0,8873,26444,32.290,81.470
e4de720002396011ec08b01045e6de32e845-g021-0,348,1242,0.000,45.800
ef0171100238c011ec08bb20f3128d160513-g08-0,3315,32474,4.230,67.990
ef0171100238c011ec08bb20f3128d160513-g01-0,2558,32466,3.570,65.830
ef0171100238c011ec08bb20f3128d160513-g09-0,3112,32444,4.030,67.760
b2b0080002390011ec08b01045e6de32e845-c09-0,15532,20012,70.270,117.340
b74c66a002381011ec08bb20f3128d160513-g02-0,12778,23262,54.220,80.200
fec359100234a011ec095370e5a7ed273c06-caoshm646-0,0,0,0.000,48.900
e4de720002396011ec08b01045e6de32e845-g022-0,345,1242,0.280,44.170
d86a9a6002353011ec08b01045e6de32e845-c010-0,0,0,0.030,41.760
fec359100234a011ec095370e5a7ed273c06-c05-0,5,13,0.060,49.800
b987bd4002393011ec08b01045e6de32e845-g011-0,11133,12498,77.580,106.690
f850756002397011ec095370e5a7ed273c06-g013-0,896,1242,0.090,46.390
f5bcb6900238e011ec08bb20f3128d160513-weidq970-0,416,418,60.330,189.440
b91859100234b011ec095370e5a7ed273c06-c019-0,0,0,0.000,49.820
bb6ccdc00238f011ec08bb20f3128d160513-c023-0,17534,20016,73.190,206.520
f17c68e00cd18011eb0891304939b5259323-zhangmf111-0,17140,17140,0.000,46.960
b987bd4002393011ec08b01045e6de32e845-g020-0,11082,12578,77.630,103.170
b2f3598002392011ec08b01045e6de32e845-g012-0,387,1746,20.170,49.060
cda22ac002396011ec08bb20f3128d160513-g010-0,1218,1380,0.030,67.700
e50f6cf002349011ec095370e5a7ed273c06-c022-0,0,0,0.000,43.310
c3c728a002389011ec08b01045e6de32e845-g016-0,1224,1390,0.080,65.640
e50f6cf002349011ec095370e5a7ed273c06-c02-0,0,0,0.000,43.490
cda22ac002396011ec08bb20f3128d160513-g018-0,1230,1380,0.000,68.170
b91859100234b011ec095370e5a7ed273c06-caoshm646-0,0,0,0.000,49.790
c1524b000237c011ec08b01045e6de32e845-g06-0,9097,26830,32.230,75.010
f850756002397011ec095370e5a7ed273c06-g08-0,902,1242,0.000,45.750
fec359100234a011ec095370e5a7ed273c06-c09-0,0,0,0.000,48.910
bcc9e90000226011ec08bb20f3128d160513-zhengxw1538-0,6536,6536,54.000,138.320
bb6ccdc00238f011ec08bb20f3128d160513-c021-0,17296,20016,78.830,219.090
d6c7f2b002394011ec095370e5a7ed273c06-g013-0,807,1242,0.000,46.390
b0f8b7200ce48011eb0921c0639a8c710148-c02-0,13382,13382,0.000,62.340
c3c728a002389011ec08b01045e6de32e845-g08-0,1217,1390,0.000,67.890
b987bd4002393011ec08b01045e6de32e845-g04-0,11144,12578,78.240,103.890
d98941400fe4d011eb0b78b029bb3a17e6fc-g03-0,28016,28058,98.750,298.200
fcbb510002393011ec095370e5a7ed273c06-weidq970-0,415,418,70.960,220.750
e4de720002396011ec08b01045e6de32e845-g014-0,347,1242,0.000,45.060
b987bd4002393011ec08b01045e6de32e845-g015-0,11114,12498,76.000,108.570
f850756002397011ec095370e5a7ed273c06-g05-0,907,1242,0.150,46.870
b2f3598002392011ec08b01045e6de32e845-g04-0,606,1976,20.690,50.380
b2b0080002390011ec08b01045e6de32e845-c07-0,14999,20012,66.190,111.240
bd55757002391011ec08b01045e6de32e845-g01-0,0,0,0.000,41.720
e8d5b2e00238e011ec08bb20f3128d160513-caoshm201-0,14958,20020,62.760,165.440
f850756002397011ec095370e5a7ed273c06-g018-0,901,1242,0.000,46.720
d86a9a6002353011ec08b01045e6de32e845-c03-0,0,0,0.000,41.000
c9ebafe00238b011ec095370e5a7ed273c06-weidq970-0,424,440,67.110,235.950
d6c7f2b002394011ec095370e5a7ed273c06-gushzh944-0,785,1242,0.090,46.380
c1323e1002390011ec08b01045e6de32e845-weidq970-0,416,418,59.660,195.190
da8b214002384011ec08bb20f3128d160513-weidq221-0,0,0,0.000,5.400
b2f3598002392011ec08b01045e6de32e845-g013-0,398,1666,20.820,49.370
d6c7f2b002394011ec095370e5a7ed273c06-g04-0,869,1242,0.000,45.690
c3c728a002389011ec08b01045e6de32e845-g07-0,1222,1380,0.000,67.520
b2f3598002392011ec08b01045e6de32e845-g09-0,397,1666,20.210,47.160
e50f6cf002349011ec095370e5a7ed273c06-c017-0,0,0,0.000,43.710
c7c784f00f075011eb0b78b029bb3a17e6fc-zhupp901-0,4488,5261,51.860,54.870
e4de720002396011ec08b01045e6de32e845-gushzh944-0,459,1242,0.280,45.010
bafda2d002390011ec08b01045e6de32e845-c03-0,17467,20080,71.210,184.660
b09d936002376011ec08b01045e6de32e845-g014-0,11871,26820,39.530,76.510
b987bd4002393011ec08b01045e6de32e845-g023-0,11133,12498,75.940,106.180
b987bd4002393011ec08b01045e6de32e845-g09-0,28392,29747,88.070,175.160
b2f3598002392011ec08b01045e6de32e845-g017-0,438,1666,24.140,49.120
bafda2d002390011ec08b01045e6de32e845-caoshm201-0,17394,20074,72.030,193.390
d8ac60100238d011ec08bb20f3128d160513-weidq970-0,416,418,62.550,200.330
ef0171100238c011ec08bb20f3128d160513-g00-0,3457,32454,1.940,64.750
b74c66a002381011ec08bb20f3128d160513-g012-0,12528,23348,53.150,80.480
b2f3598002392011ec08b01045e6de32e845-g011-0,398,1666,21.430,48.720
f850756002397011ec095370e5a7ed273c06-gushzh944-0,856,1242,0.000,47.650
bb6ccdc00238f011ec08bb20f3128d160513-c019-0,17705,20012,79.730,204.880
b09d936002376011ec08b01045e6de32e845-g06-0,12037,26830,43.910,76.650
ef0171100238c011ec08bb20f3128d160513-g011-0,2950,32474,4.930,67.260
d861ad100238f011ec08bb20f3128d160513-weidq970-0,431,434,62.080,202.710
b987bd4002393011ec08b01045e6de32e845-g02-0,11123,12558,76.670,108.110
b2f3598002392011ec08b01045e6de32e845-g02-0,17697,18975,61.450,158.630
b987bd4002393011ec08b01045e6de32e845-g012-0,11143,12578,75.860,99.990
b2f3598002392011ec08b01045e6de32e845-g020-0,405,1746,21.480,47.460
ef0171100238c011ec08bb20f3128d160513-g015-0,2873,32474,4.480,66.800
f850756002397011ec095370e5a7ed273c06-g020-0,902,1242,0.000,46.160
b91859100234b011ec095370e5a7ed273c06-c08-0,0,0,0.000,49.780
c1524b000237c011ec08b01045e6de32e845-g014-0,8935,26436,32.980,77.550
b2b0080002390011ec08b01045e6de32e845-c012-0,15091,20016,67.980,111.780
eb3fdf0002320011ec08bb20f3128d160513-caoshm234-0,0,0,0.000,7.630
bafda2d002390011ec08b01045e6de32e845-c010-0,17377,20074,71.500,193.890
fec359100234a011ec095370e5a7ed273c06-c02-0,13,27,0.000,48.350
bb6ccdc00238f011ec08bb20f3128d160513-c014-0,17703,20012,77.540,210.070
b2b0080002390011ec08b01045e6de32e845-c011-0,15688,20012,71.330,117.400
e4de720002396011ec08b01045e6de32e845-g03-0,375,1242,0.410,44.050
fec359100234a011ec095370e5a7ed273c06-c017-0,0,0,0.060,49.490
e50f6cf002349011ec095370e5a7ed273c06-c09-0,0,0,0.000,43.320
c3c728a002389011ec08b01045e6de32e845-g05-0,1228,1390,0.050,66.440
c3c728a002389011ec08b01045e6de32e845-g01-0,1223,1370,0.070,64.000
fec359100234a011ec095370e5a7ed273c06-c011-0,0,0,0.000,49.330
b4bf82600cb91011eb0921c0639a8c710148-huangh3746-0,4704,4704,0.000,48.130
ef0171100238c011ec08bb20f3128d160513-g016-0,2539,32474,6.760,67.900
e4de720002396011ec08b01045e6de32e845-g024-0,329,1242,0.240,45.610
cda22ac002396011ec08bb20f3128d160513-g019-0,1228,1380,0.040,65.840
b91859100234b011ec095370e5a7ed273c06-c018-0,0,13,0.000,48.270
b987bd4002393011ec08b01045e6de32e845-g013-0,11074,12498,76.170,98.190
d6c7f2b002394011ec095370e5a7ed273c06-g020-0,807,1242,0.000,46.190
c3c728a002389011ec08b01045e6de32e845-g00-0,1268,1370,0.010,66.260
b91859100234b011ec095370e5a7ed273c06-c06-0,0,13,0.000,50.200
bb6ccdc00238f011ec08bb20f3128d160513-c020-0,17447,20016,77.740,214.380
bb6ccdc00238f011ec08bb20f3128d160513-c03-0,17270,20012,76.950,208.120
b09d936002376011ec08b01045e6de32e845-g016-0,11928,26446,44.100,81.050
b2f3598002392011ec08b01045e6de32e845-g023-0,603,1896,20.690,49.500
b987bd4002393011ec08b01045e6de32e845-g017-0,11135,12498,77.670,96.670
b74c66a002381011ec08bb20f3128d160513-g04-0,12747,23348,53.780,78.230
b2b0080002390011ec08b01045e6de32e845-c017-0,14767,20012,65.360,115.760
b91859100234b011ec095370e5a7ed273c06-c015-0,0,0,0.000,50.200
bafda2d002390011ec08b01045e6de32e845-c05-0,17529,20074,72.640,203.260
f850756002397011ec095370e5a7ed273c06-g02-0,902,1242,0.000,46.420
cdd0aa9002392011ec095370e5a7ed273c06-weidq970-0,427,434,61.580,214.240
c3c728a002389011ec08b01045e6de32e845-g014-0,1227,1380,0.030,65.960
cda22ac002396011ec08bb20f3128d160513-g03-0,1216,1380,0.000,68.110
e50f6cf002349011ec095370e5a7ed273c06-c05-0,0,0,0.000,42.370
c7424c600238d011ec08bb20f3128d160513-weidq334-0,0,0,0.000,11.890
b2265ec00238e011ec08b01045e6de32e845-weidq970-0,416,418,64.130,220.750
d86a9a6002353011ec08b01045e6de32e845-c05-0,0,0,0.000,41.920
f850756002397011ec095370e5a7ed273c06-g07-0,906,1242,0.140,45.790
b2f3598002392011ec08b01045e6de32e845-g015-0,603,1896,20.690,50.820
